course,plannedNumberOfStudents,seniorHours,assistantHours
I-1,100,260,700
I-2,150,240,700
I-3,100,260,560
I-4,150,280,360
I-5,150,260,700
I-6,60,280,480
I-7,200,240,420
I-8,150,280,480
I-9,60,280,560
I-10,100,280,700
I-11,60,260,480
I-12,200,280,400
I-13,60,260,600
I-14,60,280,300
I-15,100,240,480
I-16,60,280,420
I-17,150,280,700
I-18,200,260,480
I-19,100,280,360
I-20,200,260,700
I-21,200,240,480
I-22,200,240,600
I-23,60,260,560
I-24,200,260,700
I-25,200,240,600
I-26,60,260,480
I-27,200,260,600
I-28,100,240,700
I-29,60,240,400
I-30,200,240,500
I-31,150,280,300
I-32,200,280,600
I-33,60,280,560
I-34,60,240,600
I-35,60,280,700
I-36,100,240,700
I-37,150,280,400
I-38,60,260,420
I-39,100,280,400
I-40,60,260,700
I-41,100,240,400
I-42,60,260,480
I-43,60,260,420
I-44,100,280,560
I-45,60,280,560
I-46,150,280,700
I-47,100,240,480
I-48,200,280,480
I-49,200,280,600
I-50,200,240,600
I-51,60,260,480
I-52,150,240,360
I-53,60,240,600
I-54,100,280,600
I-55,60,240,360
I-56,200,280,300
I-57,60,240,600
I-58,150,240,300
I-59,200,260,400
I-60,100,260,400
I-61,200,260,560
I-62,60,240,480
I-63,60,240,560
I-64,200,260,420
I-65,100,240,400
I-66,200,260,700
I-67,150,280,420
I-68,100,260,420
I-69,150,280,500
I-70,100,240,560
I-71,60,280,600
I-72,100,260,700
I-73,150,280,420
I-74,100,240,560
I-75,200,280,560
I-76,60,240,300
I-77,60,240,500
I-78,100,260,300
I-79,200,260,700
I-80,100,260,600
I-81,100,240,600
I-82,200,260,400
I-83,150,240,360
I-84,150,240,600
I-85,150,240,600
I-86,60,260,560
I-87,150,280,420
I-88,100,280,360
I-89,150,240,400
I-90,150,240,400
I-91,150,280,700
I-92,200,260,500
I-93,60,260,500
I-94,60,240,300
I-95,200,260,420
I-96,200,280,500
I-97,150,280,360
I-98,150,260,360
I-99,150,240,600
I-100,100,260,600
I-101,150,240,560
I-102,150,260,300
I-103,60,280,500
I-104,100,260,600
I-105,100,260,480
I-106,200,260,300
I-107,200,260,600
I-108,200,280,400
I-109,100,240,600
I-110,150,280,400
I-111,100,280,700
I-112,200,240,500
I-113,60,240,480
I-114,150,280,600
I-115,150,260,700
I-116,200,260,480
I-117,60,280,420
I-118,150,240,360
I-119,60,260,700
I-120,60,240,560
I-121,60,260,600
I-122,200,260,480
I-123,200,260,500
I-124,200,260,560
I-125,150,260,360
I-126,60,260,600
I-127,150,260,700
I-128,100,240,480
I-129,200,260,300
I-130,150,260,300
I-131,150,240,600
I-132,200,280,360
I-133,150,280,420
I-134,150,280,500
I-135,100,260,600
I-136,200,240,300
I-137,60,260,420
I-138,60,240,400
I-139,200,280,500
I-140,60,240,500
I-141,100,240,480
I-142,100,280,500
I-143,100,280,360
I-144,200,240,560
I-145,60,240,420
I-146,200,280,480
I-147,60,260,560
I-148,100,280,480
I-149,200,280,420
I-150,150,240,420
I-151,200,240,420
I-152,60,240,300
I-153,200,280,480
I-154,60,280,480
I-155,100,240,360
I-156,200,260,420
I-157,60,260,420
I-158,150,240,600
I-159,150,260,300
I-160,100,240,700
I-161,60,260,700
I-162,100,280,700
I-163,200,260,420
I-164,200,240,480
I-165,60,260,700
I-166,60,260,300
I-167,60,260,300
I-168,150,240,700
I-169,150,280,480
I-170,60,260,560
I-171,200,240,560
I-172,150,240,560
I-173,200,280,360
I-174,150,260,560
I-175,150,280,560
I-176,150,280,480
I-177,100,260,480
I-178,150,280,420
I-179,150,240,480
I-180,60,280,400
I-181,150,260,420
I-182,100,260,600
I-183,200,260,560
I-184,100,240,400
I-185,150,280,500
I-186,60,280,400
I-187,200,260,420
I-188,200,240,600
I-189,100,280,300
I-190,200,240,560
I-191,100,240,560
I-192,150,280,420
I-193,60,240,500
I-194,150,260,500
I-195,100,260,400
I-196,100,240,500
I-197,100,260,500
I-198,200,280,560
I-199,150,280,300
I-200,60,260,500
I-201,60,260,360
I-202,150,260,600
I-203,60,240,420
I-204,150,280,600
I-205,150,240,500
I-206,100,280,400
I-207,200,280,480
I-208,200,260,600
I-209,150,280,700
I-210,200,260,300
I-211,200,240,480
I-212,150,260,500
I-213,150,280,300
I-214,200,280,300
I-215,150,260,420
I-216,200,280,600
I-217,150,260,560
I-218,100,260,600
I-219,60,280,700
I-220,100,240,400
I-221,60,240,300
I-222,100,280,360
I-223,150,260,400
I-224,200,240,700
I-225,150,280,420
I-226,100,280,560
I-227,200,260,700
I-228,60,240,600
I-229,200,240,560
I-230,60,280,400
I-231,60,240,360
I-232,60,240,700
I-233,200,260,480
I-234,100,260,360
I-235,60,280,400
I-236,200,280,600
I-237,60,260,500
I-238,100,280,560
I-239,100,280,400
I-240,60,240,700
I-241,200,280,480
I-242,150,260,500
I-243,150,240,700
I-244,100,260,600
I-245,60,240,300
I-246,200,260,400
I-247,150,280,360
I-248,150,280,700
I-249,100,280,480
I-250,60,240,400
I-251,60,280,300
I-252,200,260,560
I-253,150,280,560
I-254,100,260,360
I-255,150,260,300
I-256,150,260,600
I-257,150,260,600
I-258,100,280,480
I-259,200,260,360
I-260,200,240,360
I-261,60,240,600
I-262,150,260,560
I-263,100,280,560
I-264,200,260,300
I-265,60,260,500
I-266,150,280,420
I-267,150,240,480
I-268,100,240,400
I-269,200,260,400
I-270,100,260,700
I-271,150,260,560
I-272,100,280,500
I-273,60,280,400
I-274,60,240,400
I-275,60,280,500
I-276,60,240,600
I-277,200,280,500
I-278,200,280,600
I-279,60,260,500
I-280,100,240,560
I-281,60,260,420
I-282,150,240,500
I-283,150,260,400
I-284,100,260,500
I-285,60,240,480
I-286,200,280,560
I-287,60,240,560
I-288,200,240,500
I-289,100,260,300
I-290,150,240,600
I-291,200,260,480
I-292,60,260,480
I-293,60,240,400
I-294,60,280,700
I-295,150,240,560
I-296,200,280,400
I-297,150,280,480
I-298,100,240,500
I-299,100,280,600
I-300,200,240,480
I-301,150,240,500
I-302,60,240,700
I-303,200,240,480
I-304,200,280,600
I-305,150,240,700
I-306,100,240,600
I-307,60,240,300
I-308,60,260,400
I-309,200,240,700
I-310,100,240,500
I-311,150,240,700
I-312,150,260,300
I-313,150,260,600
I-314,200,240,600
I-315,60,280,300
I-316,150,280,480
I-317,100,280,700
I-318,150,260,600
I-319,100,280,480
I-320,100,240,560
I-321,150,280,500
I-322,200,280,500
I-323,100,240,400
I-324,60,260,600
I-325,200,260,700
I-326,150,280,480
I-327,150,240,600
I-328,100,280,300
I-329,150,280,400
I-330,150,280,360
I-331,150,260,360
I-332,200,280,300
I-333,60,240,300
I-334,60,260,560
I-335,100,260,500
I-336,150,240,360
I-337,60,280,360
I-338,150,240,700
I-339,100,280,500
I-340,60,240,360
I-341,200,240,560
I-342,200,240,400
I-343,60,260,560
I-344,200,280,480
I-345,100,280,560
I-346,60,280,360
I-347,150,260,300
I-348,100,260,600
I-349,200,240,400
I-350,60,240,500
I-351,60,280,600
I-352,150,260,400
I-353,100,260,500
I-354,60,280,560
I-355,200,240,480
I-356,150,280,400
I-357,150,280,500
I-358,150,240,360
I-359,60,280,360
I-360,200,280,600
I-361,150,240,400
I-362,100,260,400
I-363,150,260,560
I-364,100,260,300
I-365,200,240,480
I-366,200,260,500
I-367,150,280,500
I-368,60,260,500
I-369,150,280,560
I-370,150,260,420
I-371,100,280,700
I-372,150,240,420
I-373,150,240,700
I-374,200,260,360
I-375,150,280,700
I-376,60,240,500
I-377,60,260,560
I-378,60,280,480
I-379,150,240,560
I-380,200,260,500
I-381,200,280,300
I-382,200,280,300
I-383,100,240,360
I-384,150,240,300
I-385,100,280,300
I-386,150,280,420
I-387,60,260,360
I-388,60,260,480
I-389,60,280,560
I-390,100,240,560
I-391,150,280,700
I-392,60,280,420
I-393,60,260,420
I-394,100,240,600
I-395,150,260,400
I-396,150,280,500
I-397,100,240,420
I-398,200,260,700
I-399,60,240,480
I-400,60,240,500
I-401,60,260,360
I-402,200,280,300
I-403,100,240,480
I-404,150,260,500
I-405,200,240,700
I-406,100,280,400
I-407,200,260,500
I-408,200,280,480
I-409,150,260,500
I-410,150,280,600
I-411,60,280,560
I-412,200,240,700
I-413,200,240,300
I-414,200,240,600
I-415,100,280,500
I-416,150,240,480
I-417,150,260,420
I-418,60,280,700
I-419,60,280,500
I-420,60,280,420
I-421,200,240,560
I-422,200,260,420
I-423,100,240,360
I-424,100,280,400
I-425,150,280,300
I-426,60,240,560
I-427,60,240,700
I-428,200,240,480
I-429,100,240,400
I-430,60,260,700
I-431,60,280,360
I-432,100,260,700
I-433,100,240,500
I-434,200,260,480
I-435,150,240,600
I-436,100,240,500
I-437,100,280,480
I-438,100,240,300
I-439,150,280,600
I-440,100,280,500
I-441,100,280,500
I-442,200,280,420
I-443,200,240,560
I-444,200,280,300
I-445,150,240,600
I-446,200,240,560
I-447,100,240,400
I-448,100,280,360
I-449,60,260,500
I-450,60,240,420
I-451,100,280,300
I-452,200,280,400
I-453,150,260,360
I-454,60,280,400
I-455,150,240,500
I-456,150,280,560
I-457,100,240,600
I-458,150,240,500
I-459,60,240,300
I-460,100,240,700
I-461,150,240,420
I-462,60,260,360
I-463,60,260,300
I-464,100,260,420
I-465,150,260,420
I-466,60,260,420
I-467,200,260,300
I-468,150,260,300
I-469,100,260,700
I-470,100,260,500
I-471,100,280,480
I-472,200,240,400
I-473,60,260,700
I-474,150,280,420
I-475,60,280,360
I-476,150,280,700
I-477,60,280,420
I-478,200,260,480
I-479,100,280,400
I-480,100,240,700
I-481,150,260,420
I-482,200,260,500
I-483,100,240,420
I-484,200,280,500
I-485,60,280,560
I-486,100,260,480
I-487,60,240,560
I-488,150,240,700
I-489,200,240,600
I-490,200,240,700
I-491,100,280,300
I-492,60,280,360
I-493,200,240,400
I-494,60,280,300
I-495,60,280,400
I-496,60,240,600
I-497,60,240,560
I-498,60,240,560
I-499,200,260,500
I-500,100,240,600
I-501,100,240,300
I-502,150,280,480
I-503,100,280,500
I-504,60,240,500
I-505,100,240,420
I-506,200,240,500
I-507,150,240,420
I-508,100,280,480
I-509,150,260,480
I-510,60,240,700
I-511,60,280,300
