programmeCode,studyYear,academicYear,course,courseType
10001,1.0,2010-2011,1763,compulsory
10001,1.0,2010-2011,1556,compulsory
10001,1.0,2010-2011,1516,compulsory
10001,1.0,2010-2011,1293,compulsory
10001,1.0,2010-2011,1741,elective
10001,1.0,2010-2011,1739,elective
10001,1.0,2010-2011,1679,elective
10001,1.0,2010-2011,1654,elective
10001,1.0,2010-2011,1646,elective
10001,1.0,2010-2011,1571,elective
10001,1.0,2010-2011,1498,elective
10001,1.0,2010-2011,1489,elective
10001,1.0,2010-2011,1420,elective
10001,1.0,2010-2011,1324,elective
10001,1.0,2010-2011,1304,elective
10001,1.0,2010-2011,1290,elective
10001,1.0,2010-2011,1279,elective
10001,1.0,2010-2011,1214,elective
10001,1.0,2010-2011,1171,elective
10001,1.0,2010-2011,1022,elective
10001,1.0,2011-2012,1181,compulsory
10001,1.0,2011-2012,1983,compulsory-elective
10001,1.0,2011-2012,1620,compulsory-elective
10001,1.0,2011-2012,1423,compulsory-elective
10001,1.0,2011-2012,1965,elective
10001,1.0,2011-2012,1963,elective
10001,1.0,2011-2012,1876,elective
10001,1.0,2011-2012,1794,elective
10001,1.0,2011-2012,1784,elective
10001,1.0,2011-2012,1780,elective
10001,1.0,2011-2012,1744,elective
10001,1.0,2011-2012,1462,elective
10001,1.0,2011-2012,1153,elective
10001,1.0,2012-2013,1547,compulsory
10001,1.0,2012-2013,1772,compulsory-elective
10001,1.0,2012-2013,1440,compulsory-elective
10001,1.0,2012-2013,1408,compulsory-elective
10001,1.0,2012-2013,1368,compulsory-elective
10001,1.0,2012-2013,1220,compulsory-elective
10001,1.0,2012-2013,1929,elective
10001,1.0,2012-2013,1910,elective
10001,1.0,2012-2013,1897,elective
10001,1.0,2012-2013,1815,elective
10001,1.0,2012-2013,1629,elective
10001,1.0,2012-2013,1620,elective
10001,1.0,2012-2013,1600,elective
10001,1.0,2012-2013,1569,elective
10001,1.0,2012-2013,1417,elective
10001,1.0,2012-2013,1377,elective
10001,1.0,2012-2013,1359,elective
10001,1.0,2012-2013,1294,elective
10001,1.0,2012-2013,1018,elective
10001,1.0,2012-2013,1010,elective
10001,1.0,2012-2013,1007,elective
10001,1.0,2012-2013,1003,elective
10001,1.0,2013-2014,1160,compulsory
10001,1.0,2013-2014,1811,compulsory-elective
10001,1.0,2013-2014,1084,compulsory-elective
10001,1.0,2013-2014,1066,compulsory-elective
10001,1.0,2013-2014,1915,elective
10001,1.0,2013-2014,1886,elective
10001,1.0,2013-2014,1883,elective
10001,1.0,2013-2014,1870,elective
10001,1.0,2013-2014,1685,elective
10001,1.0,2013-2014,1566,elective
10001,1.0,2013-2014,1445,elective
10001,1.0,2013-2014,1317,elective
10001,1.0,2013-2014,1318,elective
10001,1.0,2013-2014,1313,elective
10001,1.0,2013-2014,1230,elective
10001,1.0,2013-2014,1226,elective
10001,1.0,2013-2014,1203,elective
10001,1.0,2013-2014,1201,elective
10001,1.0,2014-2015,1725,compulsory
10001,1.0,2014-2015,1481,compulsory
10001,1.0,2014-2015,1973,compulsory-elective
10001,1.0,2014-2015,1911,compulsory-elective
10001,1.0,2014-2015,1675,compulsory-elective
10001,1.0,2014-2015,1336,compulsory-elective
10001,1.0,2014-2015,1741,elective
10001,1.0,2014-2015,1723,elective
10001,1.0,2014-2015,1633,elective
10001,1.0,2014-2015,1605,elective
10001,1.0,2014-2015,1411,elective
10001,1.0,2014-2015,1407,elective
10001,1.0,2014-2015,1294,elective
10001,1.0,2014-2015,1257,elective
10001,1.0,2014-2015,1193,elective
10001,1.0,2015-2016,1737,compulsory
10001,1.0,2015-2016,1970,compulsory-elective
10001,1.0,2015-2016,1843,compulsory-elective
10001,1.0,2015-2016,1300,compulsory-elective
10001,1.0,2015-2016,1262,compulsory-elective
10001,1.0,2015-2016,1248,compulsory-elective
10001,1.0,2015-2016,1958,elective
10001,1.0,2015-2016,1915,elective
10001,1.0,2015-2016,1876,elective
10001,1.0,2015-2016,1787,elective
10001,1.0,2015-2016,1775,elective
10001,1.0,2015-2016,1734,elective
10001,1.0,2015-2016,1618,elective
10001,1.0,2015-2016,1615,elective
10001,1.0,2015-2016,1516,elective
10001,1.0,2015-2016,1508,elective
10001,1.0,2015-2016,1472,elective
10001,1.0,2015-2016,1389,elective
10001,1.0,2015-2016,1341,elective
10001,1.0,2015-2016,1214,elective
10001,1.0,2015-2016,1060,elective
10001,1.0,2016-2017,1790,compulsory
